Package,LibPath,Version,Priority,Built
plyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8.4,NA,3.3.0
png,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-7,NA,3.3.0
polynom,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-9,NA,3.3.2
praise,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.0
prettymapr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.2,NA,3.3.2
prettyunits,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.2,NA,3.3.0
progress,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
proj4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-8,NA,3.3.0
proto,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.0
psych,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.8,NA,3.3.2
purrr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.4,NA,3.3.2
quantreg,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,5.34,NA,3.3.2
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.1,NA,3.3.0
R.oo,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.21.0,NA,3.3.0
R.utils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.6.0,NA,3.3.2
R6,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2.2,NA,3.3.2
RandomFields,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.1.50,NA,3.3.2
RandomFieldsUtils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.25,NA,3.3.2
RANN,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.5.1,NA,3.3.2
rappdirs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.1,NA,3.3.0
raster,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.6-7,NA,3.3.2
rasterVis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.43,NA,3.3.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-2,NA,3.3.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.12.15,NA,3.3.2
RcppEigen,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.3.3.1,NA,3.3.2
RCurl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.95-4.10,NA,3.3.2
readr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
readxl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
registry,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5,NA,3.3.2
rematch,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.0
rematch2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.1,NA,3.3.2
reprex,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.1,NA,3.3.2
rerddap,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.2.9130,NA,3.3.2
reshape,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8.7,NA,3.3.2
reshape2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.3,NA,3.3.2
rex,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
rgdal,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-16,NA,3.3.2
rgeos,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-26,NA,3.3.2
rgl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.98.1,NA,3.3.2
RgoogleMaps,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.1,NA,3.3.0
rjson,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.15,NA,3.3.0
rlang,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8,NA,3.3.2
rngtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.4,NA,3.3.0
rpart,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.1-12,recommended,3.3.2
rprojroot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-2,NA,3.3.2
rstudioapi,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7,NA,3.3.2
RUnit,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.31,NA,3.3.0
rvest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.2,NA,3.3.0
sandwich,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4-0,NA,3.3.2
scales,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5.0,NA,3.3.2
SDMTools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-221,NA,3.3.0
segmented,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5-3.0,NA,3.3.2
selectr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-1,NA,3.3.2
sf,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5-5,NA,3.3.2
shape,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.3,NA,3.3.2
shapefiles,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7,NA,3.3.0
shiny,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.5,NA,3.3.2
sourcetools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
sp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-7,NA,3.3.2
spacetime,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-1,NA,3.3.2
spam,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1-2,NA,3.3.2
SparseM,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.77,NA,3.3.2
spatial,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-11,recommended,3.3.2
SpatialDeltaGLMM,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.4.0,NA,3.3.2
SpatialDFA,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.2
splancs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.01-40,NA,3.3.2
splines,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
stabledist,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7-1,NA,3.3.0
statmod,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.30,NA,3.3.2
stats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
stats4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
stringi,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.6,NA,3.3.2
stringr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
styler,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
survival,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.41-3,recommended,3.3.2
svglite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.1,NA,3.3.2
tcltk,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
testthat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.0,NA,3.3.2
TH.data,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-8,NA,3.3.2
ThorsonUtilities,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.2
tibble,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.2,NA,3.3.2
tidyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7.2,NA,3.3.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.3,NA,3.3.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.1,NA,3.3.2
tkrplot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0-23,NA,3.3.0
TMB,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7.12,NA,3.3.2
TMBhelper,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.2
tools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
tweedie,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.3.2,NA,3.3.2
tweenr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.5,NA,3.3.0
udunits2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.13,NA,3.3.2
units,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5-1,NA,3.3.2
usethis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
utf8,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.3,NA,3.3.2
utils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
VAST,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
viridis,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.1,NA,3.3.2
viridisLite,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
whisker,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-2,NA,3.3.0
withr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.1,NA,3.3.2
XML,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.98-1.9,NA,3.3.2
xml2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
xtable,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-2,NA,3.3.0
xts,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.10-1,NA,3.3.2
yaml,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.16,NA,3.3.2
zoo,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-1,NA,3.3.2
